pop2020,Entity,Code,Year,Estimate2010,country,code,year,Estimate2020,country,Code,happinessScore
4829.767,Central African Republic,CAF,2010,5.215,Central African Republic,CAF,2020,4.568,Central African Republic,CAF,3.083
8654.622,Tanzania,TZA,2010,5.427,Tanzania,TZA,2020,4.773,Tanzania,TZA,3.231
19237.691,Rwanda,RWA,2010,4.52,Rwanda,RWA,2020,3.926,Rwanda,RWA,3.334
3473.73,Yemen,YEM,2010,4.674,Yemen,YEM,2020,3.614,Yemen,YEM,3.38
27691.018,Malawi,MWI,2010,5.332,Malawi,MWI,2020,4.055,Malawi,MWI,3.41
21413.249,Syria,SYR,2010,3.404,Syria,SYR,2020,2.734,Syria,SYR,3.462
2351.627,Botswana,BWA,2010,3.022,Botswana,BWA,2020,2.796,Botswana,BWA,3.488
11402.528,Haiti,HTI,2010,3.427,Haiti,HTI,2020,2.842,Haiti,HTI,3.597
28435.94,Zimbabwe,ZWE,2010,4.034,Zimbabwe,ZWE,2020,3.46,Zimbabwe,ZWE,3.663
11890.784,Burundi,BDI,2010,6.179,Burundi,BDI,2020,5.237,Burundi,BDI,3.775
6825.445,Lesotho,LSO,2010,3.302,Lesotho,LSO,2020,3.07,Lesotho,LSO,3.802
2083.374,Madagascar,MDG,2010,4.603,Madagascar,MDG,2020,3.976,Madagascar,MDG,3.933
869.601,Comoros,COM,2010,4.754,Comoros,COM,2020,4.073,Comoros,COM,3.973
2142.249,Liberia,LBR,2010,4.971,Liberia,LBR,2020,4.183,Liberia,LBR,3.975
1380004.385,India,IND,2010,2.581,India,IND,2020,2.184,India,IND,4.015
23816.775,Togo,TGO,2010,4.868,Togo,TGO,2020,4.199,Togo,TGO,4.085
33469.203,Zambia,ZMB,2010,5.415,Zambia,ZMB,2020,4.496,Zambia,ZMB,4.107
4.138672829,Sudan,SDN,2010,4.876,Sudan,SDN,2020,4.289,Sudan,SDN,4.138672829
102334.404,Egypt,EGY,2010,3.233,Egypt,EGY,2020,3.236,Egypt,EGY,4.166
16425.864,Chad,TCD,2010,6.592,Chad,TCD,2020,5.553,Chad,TCD,4.35
32365.999,Mali,MLI,2010,6.547,Mali,MLI,2020,5.693,Mali,MLI,4.39
5792.202,Denmark,DNK,2010,1.796,Denmark,DNK,2020,1.768,DR Congo,COD,4.418
40222.493,Iraq,IRQ,2010,4.343,Iraq,IRQ,2020,3.537,Iraq,IRQ,4.437
6624.554,Niger,NER,2010,7.473,Niger,NER,2020,6.735,Niger,NER,4.628
5459.642,Somalia,SOM,2010,6.865,Somalia,SOM,2020,5.885,Somalia,SOM,4.668
220892.34,Palestine,PSE,2010,4.437,Palestine,PSE,2020,3.489,Palestine,PSE,4.696
1439323.776,China,CHN,2010,1.627,China,CHN,2020,1.7,China,CHN,5.191
