Entity,Code,Year,estimate2010,,,,estimate2010
Africa,,2010,4.823,Afghanistan,AFG,2020,4.176
Albania,ALB,2010,1.66,Albania,ALB,2020,1.58
Algeria,DZA,2010,2.86,Algeria,DZA,2020,2.942
Angola,AGO,2010,6.194,Angola,AGO,2020,5.371
Antigua and Barbuda,ATG,2010,1.988,Antigua and Barbuda,ATG,2020,1.978
Argentina,ARG,2010,2.346,Argentina,ARG,2020,2.233
Armenia,ARM,2010,1.722,Armenia,ARM,2020,1.76
Aruba,ABW,2010,1.768,Aruba,ABW,2020,1.901
Asia,,2010,2.264,Asia,,2020,2.121
"Asia, Central",,2010,2.725,"Asia, Central",,2020,2.695
Australia,AUS,2010,1.936,Australia,AUS,2020,1.806
Australia & New Zealand,,2010,1.966,Australia & New Zealand,,2020,1.817
Austria,AUT,2010,1.419,Austria,AUT,2020,1.554
Azerbaijan,AZE,2010,1.954,Azerbaijan,AZE,2020,2.044
Bahamas,BHS,2010,1.865,Bahamas,BHS,2020,1.733
Bahrain,BHR,2010,2.164,Bahrain,BHR,2020,1.942
Bangladesh,BGD,2010,2.324,Bangladesh,BGD,2020,1.987
Barbados,BRB,2010,1.687,Barbados,BRB,2020,1.628
Belarus,BLR,2010,1.555,Belarus,BLR,2020,1.727
Belgium,BEL,2010,1.816,Belgium,BEL,2020,1.716
Belize,BLZ,2010,2.69,Belize,BLZ,2020,2.246
Benin,BEN,2010,5.362,Benin,BEN,2020,4.7
Bhutan,BTN,2010,2.301,Bhutan,BTN,2020,1.931
Bolivia,BOL,2010,3.213,Bolivia,BOL,2020,2.651
Bosnia and Herzegovina,BIH,2010,1.315,Bosnia and Herzegovina,BIH,2020,1.243
Botswana,BWA,2010,3.022,Botswana,BWA,2020,2.796
Brazil,BRA,2010,1.796,Brazil,BRA,2020,1.706
Brunei,BRN,2010,1.937,Brunei,BRN,2020,1.796
Bulgaria,BGR,2010,1.534,Bulgaria,BGR,2020,1.585
Burkina Faso,BFA,2010,5.867,Burkina Faso,BFA,2020,5.029
Burundi,BDI,2010,6.179,Burundi,BDI,2020,5.237
Cambodia,KHM,2010,2.875,Cambodia,KHM,2020,2.453
Cameroon,CMR,2010,5.111,Cameroon,CMR,2020,4.443
Canada,CAN,2010,1.633,Canada,CAN,2020,1.499
