Entity,Code,Year2010,Life2010,year2020,life2020,country,happinessRank,happinessScore,pop2020
Afghanistan,AFG,2010,4.75838089,2020,,Afghanistan,154,3.203,38928.346
Albania,ALB,2010,5.268936634,2020,,Albania,107,4.719,2877.797
Algeria,DZA,2010,5.46356678,2020,,Algeria,88,5.211,43851.044
Argentina,ARG,2010,6.441067219,2020,,Argentina,47,6.086,45195.774
Armenia,ARM,2010,4.367811203,2020,,Armenia,116,4.559,2963.243
Australia,AUS,2010,7.450047016,2020,,Australia,11,7.228,25499.884
Austria,AUT,2010,7.302678585,2020,,Austria,10,7.246,9006.398
Azerbaijan,AZE,2010,4.218610764,2020,,Azerbaijan,90,5.208,10139.177
Bahrain,BHR,2010,5.936869144,2020,,Bahrain,37,6.199,1701.575
Bangladesh,BGD,2010,4.858481407,2020,,Bangladesh,125,4.456,164689.383
Belarus,BLR,2010,5.525923252,2020,,Belarus,81,5.323,9449.323
Belgium,BEL,2010,6.853514194,2020,,Belgium,18,6.923,11589.623
Benin,BEN,2011,3.870279551,2020,,Benin,102,4.883,12123.2
Bhutan,BTN,2013,5.569091797,2020,,Bhutan,95,5.082,771.608
Bolivia,BOL,2010,5.780620098,2020,,Bolivia,61,5.779,11673.021
Bosnia and Herzegovina,BIH,2010,4.66851759,2020,,Bosnia and Herzegovina,78,5.386,3280.819
Botswana,BWA,2010,3.553020239,2020,,Botswana,148,3.488,2351.627
Brazil,BRA,2010,6.837331295,2020,,Brazil,32,6.3,212559.417
Bulgaria,BGR,2010,3.912276268,2020,,Bulgaria,97,5.011,6948.445
Burkina Faso,BFA,2010,4.035560608,2020,,Burkina Faso,115,4.587,20903.273
Burundi,BDI,2011,3.705894232,2020,,Burundi,145,3.775,11890.784
Cambodia,KHM,2010,4.141072273,2020,,Cambodia,109,4.7,16718.965
Cameroon,CMR,2010,4.554256916,2020,,Cameroon,96,5.044,26545.863
Canada,CAN,2010,7.650346279,2020,,Canada,9,7.278,37742.154
Central African Republic,CAF,2010,3.567892551,2020,,Central African Republic,155,3.083,4829.767
